Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,home_clean,team_clean,intFormedYear,intStadiumCapacity,strLeague,anios_historia,total_goles_partido,diferencia_goles,resultado_target,cluster_kmeans
11/08/2023,Almeria,Vallecano,0,2,A,19,10,5,4,8,3,almeria,,1900.0,38279.0,Liga_Desconocida,126.0,2,-2,Derrota_Local,2
11/08/2023,Sevilla,Valencia,1,2,A,9,10,3,3,8,1,sevilla,,1900.0,38279.0,Liga_Desconocida,126.0,3,-1,Derrota_Local,2
12/08/2023,Sociedad,Girona,1,1,D,15,6,2,1,4,1,sociedad,,1900.0,38279.0,Liga_Desconocida,126.0,2,0,Empate,0
12/08/2023,Las Palmas,Mallorca,1,1,D,5,12,2,2,3,6,las palmas,,1900.0,38279.0,Liga_Desconocida,126.0,2,0,Empate,0
12/08/2023,Ath Bilbao,Real Madrid,0,2,A,7,14,1,8,7,5,ath bilbao,,1900.0,38279.0,Liga_Desconocida,126.0,2,-2,Derrota_Local,2
13/08/2023,Celta,Osasuna,0,2,A,11,11,1,5,7,2,celta,,1900.0,38279.0,Liga_Desconocida,126.0,2,-2,Derrota_Local,2
13/08/2023,Villarreal,Betis,1,2,A,18,12,5,5,9,4,villarreal,,1900.0,38279.0,Liga_Desconocida,126.0,3,-1,Derrota_Local,2
13/08/2023,Getafe,Barcelona,0,0,D,5,14,2,4,3,4,getafe,getafe,1946.0,17393.0,Spanish La Liga,80.0,0,0,Empate,0
14/08/2023,Cadiz,Alaves,1,0,H,12,10,3,2,2,4,cadiz,,1900.0,38279.0,Liga_Desconocida,126.0,1,1,Victoria_Local,0
14/08/2023,Ath Madrid,Granada,3,1,H,14,7,6,4,3,3,ath madrid,,1900.0,38279.0,Liga_Desconocida,126.0,4,2,Victoria_Local,1
18/08/2023,Mallorca,Villarreal,0,1,A,8,15,1,3,6,5,mallorca,,1900.0,38279.0,Liga_Desconocida,126.0,1,-1,Derrota_Local,0
18/08/2023,Valencia,Las Palmas,1,0,H,9,7,4,1,6,4,valencia,,1900.0,38279.0,Liga_Desconocida,126.0,1,1,Victoria_Local,0
19/08/2023,Sociedad,Celta,1,1,D,11,17,2,6,9,7,sociedad,,1900.0,38279.0,Liga_Desconocida,126.0,2,0,Empate,0
19/08/2023,Almeria,Real Madrid,1,3,A,20,24,8,9,4,5,almeria,,1900.0,38279.0,Liga_Desconocida,126.0,4,-2,Derrota_Local,2
19/08/2023,Osasuna,Ath Bilbao,0,2,A,18,8,7,2,5,3,osasuna,,1900.0,38279.0,Liga_Desconocida,126.0,2,-2,Derrota_Local,2
20/08/2023,Girona,Getafe,3,0,H,7,9,6,2,3,2,girona,,1900.0,38279.0,Liga_Desconocida,126.0,3,3,Victoria_Local,1
20/08/2023,Barcelona,Cadiz,2,0,H,23,10,10,1,10,2,barcelona,barcelona,1899.0,99354.0,Spanish La Liga,127.0,2,2,Victoria_Local,1
20/08/2023,Betis,Ath Madrid,0,0,D,14,5,0,1,2,7,betis,,1900.0,38279.0,Liga_Desconocida,126.0,0,0,Empate,0
21/08/2023,Alaves,Sevilla,4,3,H,14,12,7,2,4,4,alaves,alaves,1921.0,19840.0,Spanish La Liga,105.0,7,1,Victoria_Local,2
21/08/2023,Granada,Vallecano,0,2,A,14,17,7,9,5,6,granada,,1900.0,38279.0,Liga_Desconocida,126.0,2,-2,Derrota_Local,2
25/08/2023,Las Palmas,Sociedad,0,0,D,11,8,5,1,5,7,las palmas,,1900.0,38279.0,Liga_Desconocida,126.0,0,0,Empate,0
25/08/2023,Celta,Real Madrid,0,1,A,13,10,4,3,3,5,celta,,1900.0,38279.0,Liga_Desconocida,126.0,1,-1,Derrota_Local,0
26/08/2023,Cadiz,Almeria,1,1,D,11,5,3,2,7,3,cadiz,,1900.0,38279.0,Liga_Desconocida,126.0,2,0,Empate,0
26/08/2023,Granada,Mallorca,3,2,H,10,10,4,5,5,3,granada,,1900.0,38279.0,Liga_Desconocida,126.0,5,1,Victoria_Local,1
26/08/2023,Sevilla,Girona,1,2,A,21,8,4,3,6,6,sevilla,,1900.0,38279.0,Liga_Desconocida,126.0,3,-1,Derrota_Local,2
27/08/2023,Villarreal,Barcelona,3,4,A,13,21,6,11,2,6,villarreal,,1900.0,38279.0,Liga_Desconocida,126.0,7,-1,Derrota_Local,2
27/08/2023,Valencia,Osasuna,1,2,A,16,7,4,2,6,3,valencia,,1900.0,38279.0,Liga_Desconocida,126.0,3,-1,Derrota_Local,2
27/08/2023,Ath Bilbao,Betis,4,2,H,14,7,6,3,5,3,ath bilbao,,1900.0,38279.0,Liga_Desconocida,126.0,6,2,Victoria_Local,1
28/08/2023,Getafe,Alaves,1,0,H,15,16,4,2,4,5,getafe,getafe,1946.0,17393.0,Spanish La Liga,80.0,1,1,Victoria_Local,0
28/08/2023,Vallecano,Ath Madrid,0,7,A,12,17,3,10,8,3,vallecano,,1900.0,38279.0,Liga_Desconocida,126.0,7,-7,Derrota_Local,2
01/09/2023,Cadiz,Villarreal,3,1,H,18,7,4,3,7,3,cadiz,,1900.0,38279.0,Liga_Desconocida,126.0,4,2,Victoria_Local,1
01/09/2023,Almeria,Celta,2,3,A,16,14,5,8,6,5,almeria,,1900.0,38279.0,Liga_Desconocida,126.0,5,-1,Derrota_Local,2
02/09/2023,Sociedad,Granada,5,3,H,15,8,6,5,2,5,sociedad,,1900.0,38279.0,Liga_Desconocida,126.0,8,2,Victoria_Local,1
02/09/2023,Real Madrid,Getafe,2,1,H,26,6,12,2,11,1,madrid,madrid,1903.0,67703.0,Spanish La Liga,123.0,3,1,Victoria_Local,1
02/09/2023,Alaves,Valencia,1,0,H,7,9,1,4,1,2,alaves,alaves,1921.0,19840.0,Spanish La Liga,105.0,1,1,Victoria_Local,0
02/09/2023,Betis,Vallecano,1,0,H,14,15,5,6,2,3,betis,,1900.0,38279.0,Liga_Desconocida,126.0,1,1,Victoria_Local,0
03/09/2023,Girona,Las Palmas,1,0,H,11,10,6,5,3,5,girona,,1900.0,38279.0,Liga_Desconocida,126.0,1,1,Victoria_Local,0
03/09/2023,Mallorca,Ath Bilbao,0,0,D,8,11,2,3,3,5,mallorca,,1900.0,38279.0,Liga_Desconocida,126.0,0,0,Empate,0
03/09/2023,Osasuna,Barcelona,1,2,A,11,9,3,4,8,5,osasuna,,1900.0,38279.0,Liga_Desconocida,126.0,3,-1,Derrota_Local,2
15/09/2023,Vallecano,Alaves,2,0,H,20,9,11,1,5,3,vallecano,,1900.0,38279.0,Liga_Desconocida,126.0,2,2,Victoria_Local,0
16/09/2023,Ath Bilbao,Cadiz,3,0,H,20,5,9,4,5,4,ath bilbao,,1900.0,38279.0,Liga_Desconocida,126.0,3,3,Victoria_Local,1
16/09/2023,Valencia,Ath Madrid,3,0,H,12,11,8,3,5,8,valencia,,1900.0,38279.0,Liga_Desconocida,126.0,3,3,Victoria_Local,1
16/09/2023,Celta,Mallorca,0,1,A,16,7,4,4,10,1,celta,,1900.0,38279.0,Liga_Desconocida,126.0,1,-1,Derrota_Local,0
16/09/2023,Barcelona,Betis,5,0,H,17,11,9,2,9,5,barcelona,barcelona,1899.0,99354.0,Spanish La Liga,127.0,5,5,Victoria_Local,1
17/09/2023,Getafe,Osasuna,3,2,H,11,8,6,3,6,3,getafe,getafe,1946.0,17393.0,Spanish La Liga,80.0,5,1,Victoria_Local,2
17/09/2023,Villarreal,Almeria,2,1,H,10,17,4,7,7,6,villarreal,,1900.0,38279.0,Liga_Desconocida,126.0,3,1,Victoria_Local,0
17/09/2023,Sevilla,Las Palmas,1,0,H,26,12,9,2,7,3,sevilla,,1900.0,38279.0,Liga_Desconocida,126.0,1,1,Victoria_Local,0
17/09/2023,Real Madrid,Sociedad,2,1,H,17,15,8,5,4,3,madrid,madrid,1903.0,67703.0,Spanish La Liga,123.0,3,1,Victoria_Local,1
18/09/2023,Granada,Girona,2,4,A,12,13,5,7,4,5,granada,,1900.0,38279.0,Liga_Desconocida,126.0,6,-2,Derrota_Local,2
22/09/2023,Alaves,Ath Bilbao,0,2,A,15,11,5,3,3,4,alaves,alaves,1921.0,19840.0,Spanish La Liga,105.0,2,-2,Derrota_Local,2
23/09/2023,Girona,Mallorca,5,3,H,23,15,10,5,6,5,girona,,1900.0,38279.0,Liga_Desconocida,126.0,8,2,Victoria_Local,1
23/09/2023,Osasuna,Sevilla,0,0,D,16,15,2,3,7,4,osasuna,,1900.0,38279.0,Liga_Desconocida,126.0,0,0,Empate,0
23/09/2023,Barcelona,Celta,3,2,H,15,13,6,7,2,3,barcelona,barcelona,1899.0,99354.0,Spanish La Liga,127.0,5,1,Victoria_Local,1
23/09/2023,Almeria,Valencia,2,2,D,17,7,10,5,8,3,almeria,,1900.0,38279.0,Liga_Desconocida,126.0,4,0,Empate,2
24/09/2023,Sociedad,Getafe,4,3,H,10,10,6,7,2,1,sociedad,,1900.0,38279.0,Liga_Desconocida,126.0,7,1,Victoria_Local,1
24/09/2023,Vallecano,Villarreal,1,1,D,11,13,6,6,2,8,vallecano,,1900.0,38279.0,Liga_Desconocida,126.0,2,0,Empate,0
24/09/2023,Betis,Cadiz,1,1,D,21,5,7,1,11,8,betis,,1900.0,38279.0,Liga_Desconocida,126.0,2,0,Empate,0
24/09/2023,Las Palmas,Granada,1,0,H,10,2,3,1,6,7,las palmas,,1900.0,38279.0,Liga_Desconocida,126.0,1,1,Victoria_Local,0
24/09/2023,Ath Madrid,Real Madrid,3,1,H,10,20,4,5,6,11,ath madrid,,1900.0,38279.0,Liga_Desconocida,126.0,4,2,Victoria_Local,1
26/09/2023,Sevilla,Almeria,5,1,H,18,10,9,1,9,4,sevilla,,1900.0,38279.0,Liga_Desconocida,126.0,6,4,Victoria_Local,1
26/09/2023,Mallorca,Barcelona,2,2,D,10,10,5,4,7,2,mallorca,,1900.0,38279.0,Liga_Desconocida,126.0,4,0,Empate,2
27/09/2023,Ath Bilbao,Getafe,2,2,D,9,13,4,5,5,4,ath bilbao,,1900.0,38279.0,Liga_Desconocida,126.0,4,0,Empate,2
27/09/2023,Real Madrid,Las Palmas,2,0,H,21,16,9,2,7,2,madrid,madrid,1903.0,67703.0,Spanish La Liga,123.0,2,2,Victoria_Local,1
27/09/2023,Villarreal,Girona,1,2,A,14,17,3,5,5,6,villarreal,,1900.0,38279.0,Liga_Desconocida,126.0,3,-1,Derrota_Local,2
27/09/2023,Cadiz,Vallecano,0,0,D,9,9,2,4,1,2,cadiz,,1900.0,38279.0,Liga_Desconocida,126.0,0,0,Empate,0
27/09/2023,Valencia,Sociedad,0,1,A,9,2,2,1,0,2,valencia,,1900.0,38279.0,Liga_Desconocida,126.0,1,-1,Derrota_Local,0
28/09/2023,Celta,Alaves,1,1,D,8,21,0,11,2,8,celta,,1900.0,38279.0,Liga_Desconocida,126.0,2,0,Empate,0
28/09/2023,Granada,Betis,1,1,D,19,13,7,3,5,7,granada,,1900.0,38279.0,Liga_Desconocida,126.0,2,0,Empate,0
28/09/2023,Osasuna,Ath Madrid,0,2,A,13,4,2,3,7,2,osasuna,,1900.0,38279.0,Liga_Desconocida,126.0,2,-2,Derrota_Local,2
29/09/2023,Barcelona,Sevilla,1,0,H,18,12,5,3,13,3,barcelona,barcelona,1899.0,99354.0,Spanish La Liga,127.0,1,1,Victoria_Local,1
30/09/2023,Getafe,Villarreal,0,0,D,22,3,9,0,6,4,getafe,getafe,1946.0,17393.0,Spanish La Liga,80.0,0,0,Empate,0
30/09/2023,Vallecano,Mallorca,2,2,D,19,9,5,4,5,0,vallecano,,1900.0,38279.0,Liga_Desconocida,126.0,4,0,Empate,2
30/09/2023,Girona,Real Madrid,0,3,A,13,14,3,7,1,4,girona,,1900.0,38279.0,Liga_Desconocida,126.0,3,-3,Derrota_Local,2
30/09/2023,Sociedad,Ath Bilbao,3,0,H,8,18,5,3,5,7,sociedad,,1900.0,38279.0,Liga_Desconocida,126.0,3,3,Victoria_Local,1
01/10/2023,Almeria,Granada,3,3,D,17,19,5,4,1,5,almeria,,1900.0,38279.0,Liga_Desconocida,126.0,6,0,Empate,2
01/10/2023,Alaves,Osasuna,0,2,A,17,10,3,3,4,2,alaves,alaves,1921.0,19840.0,Spanish La Liga,105.0,2,-2,Derrota_Local,2
01/10/2023,Ath Madrid,Cadiz,3,2,H,18,8,9,4,5,3,ath madrid,,1900.0,38279.0,Liga_Desconocida,126.0,5,1,Victoria_Local,1
01/10/2023,Betis,Valencia,3,0,H,15,9,7,2,5,3,betis,,1900.0,38279.0,Liga_Desconocida,126.0,3,3,Victoria_Local,1
02/10/2023,Las Palmas,Celta,2,1,H,16,11,5,3,4,5,las palmas,,1900.0,38279.0,Liga_Desconocida,126.0,3,1,Victoria_Local,0
